message_id_new,user_id,output,task0,task1,task2
0173a438-7827-4991-a87f-ad4f0e5dc85a,512523da-ccea-4afe-832c-d52dac83706f,,Food,-,-
01baec39-ab2e-4120-9204-e74fc740fac0,58dd1a6e-af55-4710-a898-764e339e7ea0,,Other,Invalid,-
0233553d-88fc-4d9c-8502-6f16c342db20,a896d26e-9d53-403c-8611-512d57324ce4,,Other,Invalid,-
02fb14be-5891-4d01-9d9c-7c73fd0788a9,00d95581-9682-489d-825e-ca3e81001da0,,Other,Valid,Other
0317d54c-0ed9-4613-abd0-5ef996d41a27,5b38f4b8-b4dd-4b2c-94a5-0f34ed1f42b0,,Other,Valid,Blood & Urine
032c91f2-4c69-472a-8518-c9fe6a95269e,d726b440-2cb3-488d-a7ed-47cf1ad10cb9,,Other,Valid,Other
0391da47-abf6-4d90-9f75-3852b7ec56ed,97febd47-366a-49b6-bd33-b99d13878d7b,,Other,Valid,Other
03b7a963-3e3b-40bc-98d6-d7e360ce3b84,e2f8f9b6-e802-4cea-ab7c-32c43e53c6e1,,Other,-,-
03d2f9cb-cf80-429d-b486-5a2b45b23a24,b41df6ff-e847-48df-ae0e-10c6afd8102d,,Other,Valid,Other
03faa151-eaf4-4140-86d6-de3f2d51440c,52d46371-82b4-4a6d-ade6-74330abefdf9,,Other,Valid,Other
040853b7-202b-4ef7-b11c-9da95a411a30,9ddb8fac-959e-4b9e-bcca-e0b077fd0129,,Other,Valid,Other
0487d73f-ca04-42a2-8e9d-f92ada5eba6f,6e606ec9-399c-494b-aebe-0083d689f927,,Other,Valid,Other
074e1510-087f-4fc5-92ba-1860c7c7fc86,8be08399-668c-43a9-acf8-7534364065d8,,Other,Valid,Blood & Urine
08726fda-ba62-487a-b6f9-1e7fb4a5ccf5,26d4a7f8-2b08-42ac-a415-2931ef590205,,Other,Invalid,-
08dab56b-febc-4df2-8ec4-353ab451ed6e,6707207c-9084-4646-bd67-345700ff58e5,,Other,Valid,Other
090c262f-03a6-46ff-9b14-cd56a00aefa2,bf8ba49a-bd62-4828-8c69-ee26bd03c78e,,Other,Valid,Blood & Urine
09f427fe-c8df-49bf-9e78-ba770bc49d7f,22a433bd-5ded-4abb-9dd8-a4140e1a2546,,Other,Valid,Other
0a5fb93d-4372-4620-9556-635900a46049,40c05052-c7a5-4f5b-a8be-cdabc2eb3ed6,,Other,Valid,Other
0be2a2a5-38c2-4907-9e1d-5593e607b9a6,70975619-b960-4dab-b275-32f2cb7e8f9b,,Other,Valid,Blood & Urine
0cbd3828-b120-4407-93cd-41dcf11b846e,33542238-0efb-49ab-8702-1cb3675faaa5,,Other,-,-
0d2630a1-8585-460d-85b7-032b40f97f4b,49f5e6f1-c4b6-4da8-b79e-e8977afd6a6d,,Body Part,-,-
0e46dc9b-ab76-4d4a-8c99-fb8cb2d86c94,8eed37e7-c2cc-4a9c-94a2-e06b8c88b1d7,,-,-,-
0e54fae3-d51b-4ec7-acc9-7fde15913a78,e3f781db-f8a4-4f37-8340-9a3a6b52a63a,,Other,Valid,Other
0ec5d8f2-6d55-4c78-bf93-e81e148fa2f9,f15dac15-c319-48e9-b9bc-d6f3f0bd07ec,,Body Part,-,-
0fdcf836-8193-46e7-b35c-b4cae3f83c29,6e606ec9-399c-494b-aebe-0083d689f927,,Other,Valid,Other
0feb9ab2-5d44-4e46-84ad-4ebe403f4c38,d2da96fd-e110-44f3-aaed-caae69f2a853,,Other,Valid,Other
1011fb06-39e1-4ac2-8554-c444f3b59e0e,3089f916-05d7-4c69-8c99-2c7d000ab335,,Other,Valid,Blood & Urine
10a1d229-38c6-4cda-a782-3284cad2ea7f,5aab4594-0aa9-4809-8c4b-adf4f17080e1,,Other,Valid,Blood & Urine
10f62d95-12c8-40a9-b566-f06a23d19288,468334ab-6244-40db-ae39-74e93350020f,,Other,Invalid,-
11369103-03e5-4256-a73a-5ebb7476bb85,44ec9f71-2f21-4256-b3f3-07ad9747b1c3,,Other,Valid,Blood & Urine
12dc8913-9776-4c69-aa88-86485647c52a,7ecdb056-bb48-4596-b237-e8db647eecec,,Other,Valid,Other
131b59c7-8806-4ca1-a79d-b0b518723215,f63950a6-47f6-41fb-b050-605f8ab2052d,,Other,Valid,Other
137727c2-bace-487c-90ca-9a7e99f67649,a37b18b3-2b9a-4251-ab19-abe0b4134fc2,,Other,Valid,Other
